v1,v2,score
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
53.555216765893334,0.0,1.8
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
42.0,34.0,2.0
