speeds,initial_position,vehicles_dam,sim_dam,crashed_happened,sim_score,expected_score,exception,vehicles_damage_full,sim_damage_full
"[{'v1': 52.29409212005686}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}]}, {'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}], 'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 52.29409212005686}, {'v2': 10.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}]}, {'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}], 'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 52.29409212005686}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}]}, {'v2': [{'name': 'FR', 'damage': 0.043010752688172046}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}], 'v2': [{'name': 'FR', 'damage': 0.043010752688172046}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 52.29409212005686}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}]}, {'v2': [{'name': 'FR', 'damage': 0.042666666666666665}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}], 'v2': [{'name': 'FR', 'damage': 0.042666666666666665}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 52.29409212005686}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}]}, {'v2': [{'name': 'FR', 'damage': 0.043010752688172046}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}], 'v2': [{'name': 'FR', 'damage': 0.043010752688172046}, {'name': 'FR', 'damage': 0.021333333333333333}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 52.29409212005686}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}]}, {'v2': [{'name': 'FR', 'damage': 0.021505376344086023}, {'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}], 'v2': [{'name': 'FR', 'damage': 0.021505376344086023}, {'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 48.793296278110304}, {'v2': 10.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.01807909604519774}, {'name': 'M', 'damage': 0.0008746993221080254}]}, {'v2': [{'name': 'FR', 'damage': 0.10752688172043011}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.01807909604519774}, {'name': 'M', 'damage': 0.0008746993221080254}], 'v2': [{'name': 'FR', 'damage': 0.10752688172043011}, {'name': 'FR', 'damage': 0.010666666666666666}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 50.0}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}]}, {'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0011662657628107006}], 'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
"[{'v1': 40.04505901917439}, {'v2': 10.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['MR']}]","[{'v1': ['F', 'M']}, {'v2': ['MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.013559322033898305}, {'name': 'M', 'damage': 0.00029156644070267514}]}, {'v2': [{'name': 'MR', 'damage': 0.011799410029498525}]}]","{'v1': [{'name': 'F', 'damage': 0.013559322033898305}, {'name': 'M', 'damage': 0.00029156644070267514}], 'v2': [{'name': 'MR', 'damage': 0.011799410029498525}]}"
"[{'v1': 52.29409212005686}, {'v2': 0.0}]","[{'v1': [21.65327629607312, 3.9996497616950393, 0]}, {'v2': [18.619059235476886, 24.10133778814508, 0]}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]","[{'v1': ['F', 'M']}, {'v2': ['FR', 'MR']}]",1,1.5999999999999999,1.7,,"[{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}]}, {'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}]","{'v1': [{'name': 'F', 'damage': 0.022598870056497175}, {'name': 'M', 'damage': 0.0014578322035133757}], 'v2': [{'name': 'FR', 'damage': 0.032}, {'name': 'MR', 'damage': 0.017699115044247787}]}"
